0, 0.44082
1, 0.372612
2, 0.372324
3, 0.372387
4, 0.38649
5, 0.374218
6, 0.374451
7, 4.67665e-310
8, 0.374659
9, 0.3747
10, 0.37364
11, 0.373579
12, 0.373021
13, 0.372313
14, 0.376167
15, 0.376724
16, 0.373286
17, 0.373304
18, 0.372375
19, 0.371822
20, 0.373028
21, 0.373376
22, 0.373396
23, 0.372659
24, 0.372513
25, 0.383617
26, 0.373614
27, 0.67395
28, 0.372471
29, 0.37242
30, 0.372523
31, 0.372458
32, 0.372609
33, -nan
0, 0.960884
1, 0.744455
2, 0.744498
3, 0.750128
4, 0.760677
5, 0.748239
6, 0.749588
7, 4.67665e-310
8, 0.74815
9, 0.747824
10, 0.747085
11, 0.780434
12, 1.12659
13, 0.833553
14, 0.748762
15, 0.800887
16, 1.12989
17, 0.814541
18, 0.744307
19, 0.809421
20, 1.12775
21, 0.803098
22, 0.747591
23, 0.746332
24, 0.744369
25, 0.755334
26, 0.966327
27, 1.32907
28, 0.749642
29, 0.750665
30, 0.748148
31, 0.747043
32, 0.757706
33, -nan
0, 1.1253
1, 1.12131
2, 1.18868
3, 1.47418
4, 1.21528
5, 1.1271
6, 1.12208
7, 4.65824e-310
8, 1.14706
9, 1.14478
10, 0.915438
11, 1.11532
12, 1.17486
13, 1.16006
14, 1.10539
15, 1.12875
16, 1.12479
17, 1.1237
18, 1.12535
19, 1.29283
20, 0.925681
21, 1.12144
22, 1.12124
23, 1.10573
24, 1.16601
25, 1.30541
26, 1.11431
27, 1.10794
28, 1.13013
29, 1.11855
30, 0.875125
31, 1.12942
32, 1.16951
33, -nan
0, 2.57893
1, 2.47773
2, 2.30942
3, 2.5795
4, 2.34707
5, 2.28402
6, 2.39049
7, 4.65824e-310
8, 2.34691
9, 2.35573
10, 2.03286
11, 2.49767
12, 2.41017
13, 2.64614
14, 2.2887
15, 2.26259
16, 2.25467
17, 2.25759
18, 1.98934
19, 2.46384
20, 2.09137
21, 2.28611
22, 2.26538
23, 2.26295
24, 2.30087
25, 2.44995
26, 2.24601
27, 2.26777
28, 2.3064
29, 2.62558
30, 2.2235
31, 2.26614
32, 2.31625
33, -nan
0, 3.74326
1, 3.81115
2, 3.47995
3, 3.7352
4, 3.49187
5, 3.4535
6, 3.65407
7, 4.65824e-310
8, 3.20566
9, 3.48713
10, 3.18498
11, 3.62426
12, 3.5342
13, 3.88941
14, 3.53938
15, 3.41622
16, 3.4277
17, 3.41
18, 3.12734
19, 3.37656
20, 3.24998
21, 3.42366
22, 3.63586
23, 3.37592
